danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,emotion
0.555,0.453,9,-7.566,1,0.0509,0.425,0,0.365,0.636,72.776,5tAkpRX2FCx8XWQOzb0zBL,4,sad
0.645,0.324,2,-12.177,1,0.0759,0.443,0.14,0.127,0.32,164.095,3TwgZ3wCKwObhP8qNkbLYR,4,sad
0.762,0.269,1,-10.259,1,0.0616,0.0689,0.745,0.829,0.274,119.06,6WaPZZoNt360fJefW5zVgu,4,sad
0.839,0.749,7,-7.167,1,0.149,0.453,0.0137,0.224,0.292,110.011,12PPtN6iHLnPVKuVzxfWSM,4,sad
0.67,0.945,8,-3.712,1,0.239,0.0447,0,0.651,0.511,76.051,1DvqZIBqI0A5iElSDwM83Q,4,sad
0.804,0.584,7,-7.202,0,0.112,0.758,4.97e-06,0.134,0.341,119.934,7vaAOcDpqY5x9VXefVbGIT,4,sad
0.82,0.674,1,-6.015,1,0.215,0.068,0.00263,0.0996,0.364,147.978,1QKDXegQxJBzSs8ZBNtGbT,4,sad
0.541,0.0836,1,-12.663,1,0.313,0.913,0.00199,0.126,0.452,181.032,0MO1qNhm8aRZchi8CJlIRo,4,sad
0.698,0.34,6,-12.761,1,0.0449,0.847,0.448,0.0871,0.0622,150.133,1blsj2LoltnLlnsg5Uj369,4,sad
0.492,0.712,9,-7.278,0,0.691,0.564,9.1e-05,0.357,0.23,137.453,5lar0mCUejpILVkAz50s2J,3,sad
0.652,0.407,10,-11.028,0,0.0354,0.471,0,0.294,0.169,111.65,3MWlVSkoLS1e66nlZ2tuWJ,3,sad
0.269,0.499,3,-8.132,0,0.0316,0.902,0.00763,0.291,0.82,184.379,3m8JUQAYJDSnTlXyvfKy7Q,3,sad
0.792,0.589,4,-6.869,0,0.262,0.0259,0.000128,0.114,0.778,157.147,0bEWzalbBcEsPOiXKWbk1g,4,sad
0.638,0.4,11,-11.212,0,0.0425,0.733,0.000133,0.334,0.495,150.133,6LyAwkJsHlW7RQ8S1cYAtM,4,sad
0.763,0.726,1,-6.405,1,0.282,0.259,0,0.0976,0.349,139.059,7floNISpH8VF4z4459Qo18,4,sad
0.434,0.629,7,-4.262,1,0.0315,0.00243,1.56e-05,0.114,0.104,160.779,1uOiqSUUF8hJwR9ETlqkMu,3,sad
0.58,0.565,0,-7.065,0,0.0488,0.0671,0,0.135,0.138,112.986,7fBv7CLKzipRk6EC6TWHOB,4,sad
0.728,0.584,10,-7.255,0,0.176,0.0524,0,0.0658,0.365,161.9,27oFpFktCq9JIXjJQRuv7a,4,sad
0.702,0.708,10,-5.366,0,0.0547,0.201,0,0.118,0.713,147.98,27a1mYSG5tYg7dmEjWBcmL,4,sad
0.459,0.543,0,-5.098,1,0.0287,0.777,0,0.262,0.251,129.345,6dAekyr74OO2duFWcbRLPN,4,sad
0.567,0.432,7,-7.49,1,0.0269,0.698,0,0.175,0.687,76.148,4vLLupeecIMSU70N5yNYLN,4,sad
0.824,0.448,0,-14.694,1,0.0945,0.756,3.5e-05,0.126,0.565,129.989,2MrNxRfW3Ja9aFOdNu3vNC,4,sad
0.615,0.813,6,-4.318,1,0.143,0.0193,0,0.196,0.799,167.991,4tyP0wVfvW2aNexrRVs2Ju,4,sad
0.685,0.589,10,-6.946,0,0.132,0.471,6.25e-06,0.297,0.366,75.023,70vwMMuKHETB2wf7ZfR3CQ,4,sad
0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,0Dn40gxVCMo5TkgS8Ik18Q,4,sad
0.613,0.761,9,-7.468,1,0.0343,0.00681,0.000152,0.27,0.44,105.274,1t8TCORVxdItzE3zy1X0tv,4,sad
0.688,0.62,11,-8.029,0,0.22,0.753,5.27e-06,0.158,0.727,170.018,224EVTFiLsdQignUFLvDeH,4,sad
0.635,0.789,8,-6.672,1,0.0441,0.382,0.969,0.116,0.084,120.038,7LgW5lfcYQTUpLx8GpU4eB,4,sad
0.741,0.775,2,-6.523,0,0.0281,0.706,2.48e-06,0.222,0.313,110.996,3OEnY5jdjIZcvl4zMG5DDj,4,sad
0.675,0.574,6,-8.066,1,0.0559,0.0121,1.11e-05,0.108,0.482,135.037,3Q241k92c1I5sqKbdw6Ujb,4,sad
0.682,0.653,8,-6.062,1,0.339,0.13,0.00116,0.129,0.428,188.115,44ZJ4hLD5onikKsVLQaILr,4,sad
0.461,0.0279,0,-21.992,1,0.0412,0.973,0.00226,0.169,0.354,88.388,2vQwlW8H1jFveGNXwZfJCV,4,sad
0.78,0.492,5,-3.4,0,0.0671,0.0643,0.0313,0.174,0.374,143.983,22An65gG31JLf9n18qjdhZ,4,sad
0.417,0.498,9,-6.077,1,0.0845,0.838,0,0.0748,0.37,179.801,2TukzxmwVW0JkiI8isgUXd,4,sad
0.333,0.258,2,-16.234,1,0.109,0.969,0.756,0.117,0.058,75.106,1VDM0Wv8wqX4hLSdzudVey,4,sad
0.458,0.623,5,-7.109,1,0.0505,0.322,5.08e-06,0.11,0.417,147.635,6qC8Jj1XOxknPm8N7EbzKX,4,sad
0.546,0.311,1,-10.396,1,0.0288,0.818,1.65e-05,0.107,0.246,147.464,13HVjjWUZFaWilh2QUJKsP,4,sad
0.726,0.419,11,-11.895,0,0.25,0.574,0,0.381,0.0644,129.786,2WOxBv9WElDqB0opEAbCC4,4,sad
0.507,0.659,4,-5.94,0,0.0459,0.435,0,0.202,0.277,136.99,6MB8gX1wQxJU4KQuRTWXux,4,sad
0.481,0.874,2,-4.193,0,0.0292,4.19e-06,0.555,0.11,0.618,140.07,3C1TyhKaxnkjQ9A4zswIpW,4,sad
0.421,0.154,0,-12.405,1,0.0319,0.102,0.00692,0.207,0.0949,99.886,1Wh5LO3TWAvaeDrwp4FZgo,4,sad
0.497,0.68,7,-8.025,0,0.127,0.00134,0,0.355,0.61,149.881,4SgoF4LkLPAU2cHMoDEqgF,3,sad
0.719,0.842,6,-3.562,0,0.0383,0.132,0,0.105,0.534,90.017,2vvdTrdryjsl8DmPIMDWZU,4,sad
